element_message_date,element_message_cpu_utilization,element_message_total_power,element_message_cpu_power,element_message_gpu_power
2023-10-23 23:54:31,0.04117,46.43359,4.43359,42.00000
2023-10-23 23:54:32,0.05581,40.90539,4.27539,36.63000
2023-10-23 23:54:33,0.13304,41.88875,4.96875,36.92000
2023-10-23 23:54:34,0.03953,40.34547,3.85547,36.49000
2023-10-23 23:54:35,0.02419,38.81070,3.72070,35.09000
2023-10-23 23:54:36,0.01014,38.68695,3.62695,35.06000
2023-10-23 23:54:37,0.02094,31.96883,3.54883,28.42000
2023-10-23 23:54:38,0.00923,31.36570,3.09570,28.27000
2023-10-23 23:54:39,0.00754,31.50180,3.09180,28.41000
2023-10-23 23:54:40,0.07963,19.38797,3.16797,16.22000
2023-10-23 23:54:41,0.01177,17.90211,2.16211,15.74000
2023-10-23 23:54:42,0.01257,15.40477,2.13477,13.27000
2023-10-23 23:54:43,0.05922,14.93859,2.30859,12.63000
2023-10-23 23:54:44,0.02510,14.17930,2.02930,12.15000
2023-10-23 23:54:45,0.02431,15.08086,2.13086,12.95000
2023-10-23 23:54:46,0.01751,15.13734,2.02734,13.11000
2023-10-23 23:54:55,0.13854,47.39734,5.52734,41.87000
2023-10-23 23:54:56,0.02015,45.91289,4.21289,41.70000
2023-10-23 23:54:57,0.01089,45.97695,4.12695,41.85000
2023-10-23 23:54:58,0.00588,46.11914,4.11914,42.00000
2023-10-23 23:54:59,0.02290,46.06289,4.21289,41.85000
2023-10-23 23:55:00,0.01266,45.81914,4.11914,41.70000
2023-10-23 23:55:01,0.01432,45.97867,4.13867,41.84000
2023-10-23 23:55:02,0.00842,45.97086,4.13086,41.84000
2023-10-23 23:55:03,0.01013,46.09695,4.12695,41.97000
2023-10-23 23:55:04,0.05897,46.76976,4.75977,42.01000
2023-10-23 23:55:05,0.00840,46.17188,4.17188,42.00000
2023-10-23 23:55:06,0.00840,45.98844,4.14844,41.84000
2023-10-23 23:55:07,0.03434,46.23086,4.38086,41.85000
2023-10-23 23:55:09,0.01341,46.18164,4.18164,42.00000
2023-10-23 23:55:10,0.02510,46.07656,4.22656,41.85000
2023-10-23 23:55:11,0.00587,46.15062,4.14063,42.01000
2023-10-23 23:55:19,0.06379,47.08711,4.53711,42.55000
2023-10-23 23:55:20,0.07018,47.09633,4.48633,42.61000
2023-10-23 23:55:22,0.03977,46.18984,4.33984,41.85000
2023-10-23 23:55:23,0.04107,46.44406,4.41406,42.03000
2023-10-23 23:55:24,0.07610,46.53000,4.50000,42.03000
2023-10-23 23:55:25,0.02012,45.99453,4.14453,41.85000
2023-10-23 23:55:26,0.01589,46.17992,4.16992,42.01000
2023-10-23 23:55:27,0.01008,45.99625,4.15625,41.84000
2023-10-23 23:55:28,0.02914,46.29485,4.21484,42.08000
2023-10-23 23:55:29,0.05130,46.69945,4.68945,42.01000
2023-10-23 23:55:30,0.01423,46.16430,4.15430,42.01000
2023-10-23 23:55:31,0.00756,39.24914,3.86914,35.38000
2023-10-23 23:55:32,0.01850,39.02469,3.80469,35.22000
2023-10-23 23:55:33,0.01525,39.01015,3.66016,35.35000
2023-10-23 23:55:34,0.02312,31.53391,3.25391,28.28000
2023-10-23 23:55:35,0.00922,31.61945,3.18945,28.43000
2023-10-23 23:55:44,0.14463,42.07711,5.03711,37.04000
2023-10-23 23:55:45,0.13951,41.64961,4.34961,37.30000
2023-10-23 23:55:46,0.10384,41.33125,4.03125,37.30000
2023-10-23 23:55:47,0.22037,40.96383,5.67383,35.29000
2023-10-23 23:55:48,0.18761,40.72594,5.33594,35.39000
2023-10-23 23:55:49,0.01593,32.01789,3.58789,28.43000
2023-10-23 23:55:50,0.02093,31.64898,3.20898,28.44000
2023-10-23 23:55:51,0.01453,31.41844,3.14844,28.27000
2023-10-23 23:55:52,0.03802,19.39758,2.76758,16.63000
2023-10-23 23:55:53,0.04990,18.28312,2.70313,15.58000
2023-10-23 23:55:54,0.02054,19.23289,2.21289,17.02000
2023-10-23 23:55:55,0.01172,14.84469,2.05469,12.79000
2023-10-23 23:55:56,0.04519,15.50438,2.23438,13.27000
2023-10-23 23:55:57,0.01934,14.40961,2.09961,12.31000
2023-10-23 23:55:58,0.02181,14.59695,2.12695,12.47000
2023-10-23 23:55:59,0.01005,14.47000,2.00000,12.47000
2023-10-23 23:56:08,0.20205,49.34383,6.42383,42.92000
2023-10-23 23:56:09,0.04068,46.58015,4.41016,42.17000
2023-10-23 23:56:10,0.01256,45.96109,4.12109,41.84000
2023-10-23 23:56:11,0.00922,45.81086,4.13086,41.68000
2023-10-23 23:56:12,0.02101,46.06461,4.22461,41.84000
2023-10-23 23:56:13,0.01593,45.84063,4.14063,41.70000
2023-10-23 23:56:14,0.01343,46.15430,4.15430,42.00000
2023-10-23 23:56:15,0.00924,46.02086,4.13086,41.89000
2023-10-23 23:56:16,0.01674,46.13234,4.15234,41.98000
2023-10-23 23:56:17,0.05917,46.71094,4.71094,42.00000
2023-10-23 23:56:18,0.01591,46.15844,4.14844,42.01000
2023-10-23 23:56:19,0.01178,46.35555,4.18555,42.17000
2023-10-23 23:56:20,0.03283,46.34008,4.33008,42.01000
2023-10-23 23:56:21,0.01681,46.24508,4.20508,42.04000
2023-10-23 23:56:22,0.02775,46.01969,4.17969,41.84000
2023-10-23 23:56:23,0.00504,46.13086,4.13086,42.00000
2023-10-23 23:56:32,0.18166,49.92406,6.16406,43.76000
2023-10-23 23:56:33,0.11205,48.14883,4.54883,43.60000
2023-10-23 23:56:34,0.07594,46.43203,4.58203,41.85000
2023-10-23 23:56:35,0.00759,46.15453,4.14453,42.01000
2023-10-23 23:56:36,0.01936,46.23047,4.23047,42.00000
2023-10-23 23:56:37,0.01092,46.15648,4.14648,42.01000
2023-10-23 23:56:39,0.01593,46.34625,4.15625,42.19000
2023-10-23 23:56:40,0.01090,46.16430,4.15430,42.01000
2023-10-23 23:56:41,0.03325,46.61367,4.26367,42.35000
2023-10-23 23:56:42,0.05461,46.66625,4.65625,42.01000
2023-10-23 23:56:43,0.01876,46.35727,4.19727,42.16000
2023-10-23 23:56:44,0.02113,39.39172,4.01172,35.38000
2023-10-23 23:56:45,0.04107,39.10867,3.88867,35.22000
2023-10-23 23:56:46,0.00672,39.04406,3.66406,35.38000
2023-10-23 23:56:47,0.02013,31.73492,3.29492,28.44000
2023-10-23 23:56:48,0.00588,31.54328,3.11328,28.43000
2023-10-23 23:56:57,0.17657,41.90078,6.05078,35.85000
2023-10-23 23:56:58,0.02183,39.79515,3.78516,36.01000
2023-10-23 23:56:59,0.01086,39.51383,3.67383,35.84000
2023-10-23 23:57:00,0.00838,38.73211,3.66211,35.07000
2023-10-23 23:57:01,0.02443,38.80680,3.71680,35.09000
2023-10-23 23:57:02,0.01511,33.18258,3.64258,29.54000
2023-10-23 23:57:03,0.01342,31.57063,3.14063,28.43000
2023-10-23 23:57:04,0.00923,31.54523,3.11523,28.43000
2023-10-23 23:57:05,0.02181,20.03102,2.79102,17.24000
2023-10-23 23:57:06,0.04882,18.09188,2.67188,15.42000
2023-10-23 23:57:07,0.01173,17.74602,2.16602,15.58000
2023-10-23 23:57:08,0.01425,14.05078,2.05078,12.00000
2023-10-23 23:57:09,0.06839,14.92617,2.32617,12.60000
2023-10-23 23:57:10,0.01429,14.50125,2.03125,12.47000
2023-10-23 23:57:11,0.02111,14.75695,2.12695,12.63000
2023-10-23 23:57:12,0.00755,14.62805,1.99805,12.63000
2023-10-23 23:57:21,0.10252,47.88484,4.46484,43.42000
2023-10-23 23:57:22,0.16965,48.92883,6.04883,42.88000
2023-10-23 23:57:23,0.24024,49.31086,6.63086,42.68000
2023-10-23 23:57:24,0.06416,46.39078,4.55078,41.84000
2023-10-23 23:57:25,0.02012,46.06852,4.22852,41.84000
2023-10-23 23:57:26,0.00924,45.98476,4.13477,41.85000
2023-10-23 23:57:27,0.01990,46.07265,4.22266,41.85000
2023-10-23 23:57:28,0.01092,45.99648,4.14648,41.85000
2023-10-23 23:57:29,0.00873,46.29430,4.15430,42.14000
2023-10-23 23:57:30,0.06791,46.68578,4.67578,42.01000
2023-10-23 23:57:31,0.01557,45.99820,4.15820,41.84000
2023-10-23 23:57:32,0.00912,46.17383,4.17383,42.00000
2023-10-23 23:57:33,0.05683,46.49508,4.45508,42.04000
2023-10-23 23:57:34,0.01676,46.17601,4.16602,42.01000
2023-10-23 23:57:35,0.02008,46.20140,4.19141,42.01000
2023-10-23 23:57:36,0.00919,46.12523,4.11523,42.01000
2023-10-23 23:57:45,0.20613,48.70383,6.42383,42.28000
2023-10-23 23:57:46,0.04061,46.43344,4.27344,42.16000
2023-10-23 23:57:47,0.00839,46.18383,4.17383,42.01000
2023-10-23 23:57:48,0.01171,46.32625,4.15625,42.17000
2023-10-23 23:57:49,0.01925,46.22266,4.22266,42.00000
2023-10-23 23:57:50,0.01261,46.00992,4.16992,41.84000
2023-10-23 23:57:51,0.01091,46.33773,4.17773,42.16000
2023-10-23 23:57:52,0.01420,46.31039,4.15039,42.16000
2023-10-23 23:57:53,0.00755,46.16625,4.15625,42.01000
2023-10-23 23:57:54,0.06862,46.92586,4.75586,42.17000
2023-10-23 23:57:55,0.01092,46.16602,4.16602,42.00000
2023-10-23 23:57:56,0.00731,39.44812,4.07813,35.37000
2023-10-23 23:57:57,0.03630,39.09281,3.88281,35.21000
2023-10-23 23:57:58,0.04432,39.16906,3.78906,35.38000
2023-10-23 23:57:59,0.02361,31.83234,3.40234,28.43000
2023-10-23 23:58:01,0.01134,31.42820,3.15820,28.27000
2023-10-23 23:58:09,0.21142,48.56633,6.48633,42.08000
2023-10-23 23:58:10,0.11505,40.84805,4.99805,35.85000
2023-10-23 23:58:11,0.00839,39.24141,3.69141,35.55000
2023-10-23 23:58:13,0.01267,38.75359,3.68359,35.07000
2023-10-23 23:58:14,0.01772,38.81461,3.72461,35.09000
2023-10-23 23:58:15,0.01424,38.86477,3.63477,35.23000
2023-10-23 23:58:16,0.01753,31.75469,3.30469,28.45000
2023-10-23 23:58:17,0.01267,31.54914,3.11914,28.43000
2023-10-23 23:58:18,0.02172,20.96227,3.07227,17.89000
2023-10-23 23:58:19,0.05678,18.20734,2.77734,15.43000
2023-10-23 23:58:20,0.01174,17.58602,2.16602,15.42000
2023-10-23 23:58:21,0.01011,15.04180,2.09180,12.95000
2023-10-23 23:58:22,0.05931,14.68695,2.37695,12.31000
2023-10-23 23:58:23,0.01340,15.13516,2.03516,13.10000
2023-10-23 23:58:24,0.01684,14.46039,2.15039,12.31000
2023-10-23 23:58:25,0.00754,14.96367,2.01367,12.95000
2023-10-23 23:58:34,0.20170,48.71727,6.19727,42.52000
2023-10-23 23:58:35,0.17481,48.10984,5.83984,42.27000
2023-10-23 23:58:36,0.01427,46.03141,4.19141,41.84000
2023-10-23 23:58:37,0.01004,46.14844,4.14844,42.00000
2023-10-23 23:58:38,0.01684,46.05484,4.21484,41.84000
2023-10-23 23:58:39,0.01174,46.17601,4.16602,42.01000
2023-10-23 23:58:40,0.01509,46.17773,4.17773,42.00000
2023-10-23 23:58:41,0.00922,45.99648,4.14648,41.85000
2023-10-23 23:58:42,0.00756,46.31648,4.14648,42.17000
2023-10-23 23:58:43,0.06963,46.80859,4.80859,42.00000
2023-10-23 23:58:44,0.01343,46.18383,4.17383,42.01000
2023-10-23 23:58:45,0.01172,46.14258,4.14258,42.00000
2023-10-23 23:58:46,0.03020,46.20742,4.35742,41.85000
2023-10-23 23:58:47,0.02855,46.56781,4.25781,42.31000
2023-10-23 23:58:48,0.02517,46.04726,4.19727,41.85000
2023-10-23 23:58:49,0.00921,45.98867,4.13867,41.85000
2023-10-23 23:58:58,0.15452,47.81125,5.53125,42.28000
2023-10-23 23:58:59,0.16042,47.73563,5.51563,42.22000
2023-10-23 23:59:00,0.04730,46.62109,4.62109,42.00000
2023-10-23 23:59:01,0.01089,46.12914,4.11914,42.01000
2023-10-23 23:59:02,0.02498,46.20726,4.19727,42.01000
2023-10-23 23:59:03,0.01509,46.28500,4.12500,42.16000
2023-10-23 23:59:04,0.01340,46.15258,4.14258,42.01000
2023-10-23 23:59:05,0.00839,46.13086,4.13086,42.00000
2023-10-23 23:59:06,0.00839,46.29086,4.13086,42.16000
2023-10-23 23:59:07,0.07507,46.82125,4.78125,42.04000
2023-10-23 23:59:08,0.01096,46.17015,4.16016,42.01000
2023-10-23 23:59:09,0.01182,43.15461,4.22461,38.93000
2023-10-23 23:59:10,0.03283,39.32156,3.85156,35.47000
2023-10-23 23:59:11,0.02443,39.01563,3.76563,35.25000
2023-10-23 23:59:12,0.02508,31.95344,3.52344,28.43000
2023-10-23 23:59:13,0.00274,31.40477,3.13477,28.27000
2023-10-23 23:59:14,0.04388,31.92008,3.33008,28.59000
2023-10-23 23:59:22,0.17280,49.20289,6.21289,42.99000
2023-10-23 23:59:23,0.20153,41.70914,5.86914,35.84000
2023-10-23 23:59:24,0.04553,39.75078,4.05078,35.70000
2023-10-23 23:59:25,0.00797,38.94852,3.72852,35.22000
2023-10-23 23:59:26,0.01882,38.84195,3.75195,35.09000
2023-10-23 23:59:27,0.01597,38.72211,3.66211,35.06000
2023-10-23 23:59:28,0.01675,31.80695,3.37695,28.43000
2023-10-23 23:59:29,0.01007,31.57477,3.13477,28.44000
2023-10-23 23:59:30,0.01263,31.55938,3.10938,28.45000
2023-10-23 23:59:32,0.05981,19.94148,2.77148,17.17000
2023-10-23 23:59:33,0.01781,17.95289,2.21289,15.74000
2023-10-23 23:59:34,0.02030,15.15117,2.20117,12.95000
2023-10-23 23:59:35,0.04055,14.72586,2.25586,12.47000
2023-10-23 23:59:36,0.01832,14.10352,2.10352,12.00000
2023-10-23 23:59:37,0.03358,14.50945,2.18945,12.32000
2023-10-23 23:59:38,0.01002,15.00664,2.05664,12.95000
2023-10-23 23:59:47,0.21243,48.75648,6.39648,42.36000
2023-10-23 23:59:48,0.17025,48.37164,5.93164,42.44000
2023-10-23 23:59:49,0.01257,46.16602,4.16602,42.00000
2023-10-23 23:59:50,0.02429,46.11758,4.26758,41.85000
2023-10-23 23:59:51,0.01931,46.08023,4.24023,41.84000
2023-10-23 23:59:52,0.01508,46.06484,4.21484,41.85000
2023-10-23 23:59:53,0.01258,46.18945,4.18945,42.00000
2023-10-23 23:59:54,0.02530,46.25391,4.25391,42.00000
2023-10-23 23:59:55,0.00921,45.98281,4.13281,41.85000
2023-10-23 23:59:56,0.06621,46.81078,4.80078,42.01000
2023-10-23 23:59:57,0.01593,46.16211,4.16211,42.00000
2023-10-23 23:59:58,0.00755,46.15430,4.15430,42.00000
2023-10-23 23:59:59,0.06066,46.50094,4.46094,42.04000
2023-10-24 00:00:00,0.01343,45.99234,4.15234,41.84000
2023-10-24 00:00:01,0.04950,47.58899,4.70898,42.88000
2023-10-24 00:00:02,0.02594,46.39000,4.25000,42.14000
2023-10-24 00:00:11,0.22110,48.92297,6.54297,42.38000
2023-10-24 00:00:12,0.07607,46.85375,4.84375,42.01000
2023-10-24 00:00:13,0.00924,46.31234,4.15234,42.16000
2023-10-24 00:00:14,0.00922,45.99453,4.14453,41.85000
2023-10-24 00:00:15,0.02178,46.38219,4.24219,42.14000
2023-10-24 00:00:16,0.01174,46.17188,4.17188,42.00000
2023-10-24 00:00:17,0.01092,46.16992,4.16992,42.00000
2023-10-24 00:00:18,0.01340,46.12500,4.12500,42.00000
2023-10-24 00:00:19,0.01257,46.11086,4.13086,41.98000
2023-10-24 00:00:20,0.05981,46.78539,4.77539,42.01000
2023-10-24 00:00:21,0.01255,46.38336,4.19336,42.19000
2023-10-24 00:00:22,0.01177,39.02687,3.79688,35.23000
2023-10-24 00:00:23,0.06655,39.39539,4.02539,35.37000
2023-10-24 00:00:24,0.01425,32.61492,3.54492,29.07000
2023-10-24 00:00:25,0.02015,31.63141,3.19141,28.44000
2023-10-24 00:00:26,0.01002,31.54133,3.11133,28.43000
2023-10-24 00:00:35,0.19795,49.76641,6.31641,43.45000
2023-10-24 00:00:36,0.05438,40.40273,4.55273,35.85000
2023-10-24 00:00:37,0.01245,39.59609,3.74609,35.85000
2023-10-24 00:00:38,0.01382,38.81000,3.75000,35.06000
2023-10-24 00:00:39,0.02595,39.01883,3.79883,35.22000
2023-10-24 00:00:40,0.01095,38.71039,3.65039,35.06000
2023-10-24 00:00:41,0.01590,31.87141,3.44141,28.43000
2023-10-24 00:00:42,0.00844,31.57430,3.15430,28.42000
2023-10-24 00:00:43,0.01240,31.60188,3.17188,28.43000
2023-10-24 00:00:44,0.05892,19.98266,2.97266,17.01000
2023-10-24 00:00:45,0.01008,18.08750,2.18750,15.90000
2023-10-24 00:00:46,0.01425,14.33750,2.18750,12.15000
2023-10-24 00:00:47,0.03180,14.61258,2.14258,12.47000
2023-10-24 00:00:48,0.00507,14.66516,2.03516,12.63000
2023-10-24 00:00:49,0.02801,14.97945,2.18945,12.79000
2023-10-24 00:00:50,0.01174,14.19102,2.04102,12.15000
2023-10-24 00:00:59,0.18253,48.19117,5.95117,42.24000
2023-10-24 00:01:00,0.16245,47.68922,5.44922,42.24000
2023-10-24 00:01:01,0.03785,46.27187,4.42188,41.85000
2023-10-24 00:01:02,0.00731,46.18773,4.17773,42.01000
2023-10-24 00:01:04,0.02457,46.10563,4.26563,41.84000
2023-10-24 00:01:05,0.01210,46.04313,4.20313,41.84000
2023-10-24 00:01:06,0.02113,46.21289,4.21289,42.00000
2023-10-24 00:01:07,0.02104,45.99633,4.23633,41.76000
2023-10-24 00:01:08,0.01157,46.05555,4.18555,41.87000
2023-10-24 00:01:09,0.07454,46.83203,4.83203,42.00000
2023-10-24 00:01:10,0.01762,46.05094,4.21094,41.84000
2023-10-24 00:01:11,0.01294,46.15430,4.15430,42.00000
2023-10-24 00:01:12,0.06002,46.50586,4.50586,42.00000
2023-10-24 00:01:13,0.01005,46.16039,4.15039,42.01000
2023-10-24 00:01:14,0.01844,45.93266,4.22266,41.71000
2023-10-24 00:01:15,0.00838,46.11156,4.10156,42.01000
2023-10-24 00:01:24,0.19237,48.39516,6.28516,42.11000
2023-10-24 00:01:25,0.06553,46.98836,4.81836,42.17000
2023-10-24 00:01:26,0.01092,46.17797,4.16797,42.01000
2023-10-24 00:01:27,0.00839,46.33211,4.16211,42.17000
2023-10-24 00:01:28,0.02015,46.26563,4.26563,42.00000
2023-10-24 00:01:29,0.01092,46.19750,4.18750,42.01000
2023-10-24 00:01:30,0.01008,46.17992,4.16992,42.01000
2023-10-24 00:01:31,0.01096,46.16820,4.15820,42.01000
2023-10-24 00:01:32,0.01456,46.33773,4.17773,42.16000
2023-10-24 00:01:33,0.07542,46.81250,4.81250,42.00000
2023-10-24 00:01:34,0.01665,46.19922,4.19922,42.00000
2023-10-24 00:01:35,0.02493,39.17383,3.92383,35.25000
2023-10-24 00:01:36,0.03401,39.09500,3.87500,35.22000
2023-10-24 00:01:37,0.02941,32.15437,3.73438,28.42000
2023-10-24 00:01:38,0.02684,31.47313,3.20313,28.27000
2023-10-24 00:01:39,0.00680,31.37938,3.10938,28.27000
2023-10-24 00:01:48,0.12072,48.15086,4.88086,43.27000
2023-10-24 00:01:49,0.13252,41.76031,4.32031,37.44000
2023-10-24 00:01:50,0.12738,40.85305,4.12305,36.73000
2023-10-24 00:01:51,0.16291,41.91039,5.40039,36.51000
2023-10-24 00:01:52,0.21546,41.34078,5.80078,35.54000
2023-10-24 00:01:53,0.06203,39.40180,4.34180,35.06000
2023-10-24 00:01:54,0.01345,31.91852,3.47852,28.44000
2023-10-24 00:01:55,0.01005,31.37547,3.10547,28.27000
2023-10-24 00:01:56,0.00840,31.41937,3.10938,28.31000
2023-10-24 00:01:57,0.05219,19.52219,2.99219,16.53000
2023-10-24 00:01:58,0.01593,18.38797,2.16797,16.22000
2023-10-24 00:01:59,0.00921,14.93062,2.14063,12.79000
2023-10-24 00:02:00,0.03434,14.21656,2.22656,11.99000
2023-10-24 00:02:01,0.01934,14.53055,2.06055,12.47000
2023-10-24 00:02:02,0.02691,15.30336,2.19336,13.11000
2023-10-24 00:02:03,0.01086,14.95367,2.01367,12.94000
2023-10-24 00:02:04,0.04458,37.82539,2.27539,35.55000
2023-10-24 00:02:12,0.17177,48.58062,5.89063,42.69000
2023-10-24 00:02:13,0.17004,48.08531,5.69531,42.39000
2023-10-24 00:02:14,0.11558,47.08047,5.23047,41.85000
2023-10-24 00:02:15,0.01594,45.96719,4.11719,41.85000
2023-10-24 00:02:16,0.01691,46.21774,4.17773,42.04000
2023-10-24 00:02:17,0.01356,45.80695,4.12695,41.68000
2023-10-24 00:02:18,0.01520,45.87531,4.19531,41.68000
2023-10-24 00:02:19,0.01012,45.97477,4.13477,41.84000
2023-10-24 00:02:20,0.01184,46.15578,4.17578,41.98000
2023-10-24 00:02:21,0.06454,46.75609,4.74609,42.01000
2023-10-24 00:02:22,0.01091,46.01797,4.16797,41.85000
2023-10-24 00:02:24,0.01011,45.97867,4.13867,41.84000
2023-10-24 00:02:25,0.07185,46.50195,4.50195,42.00000
2023-10-24 00:02:26,0.01172,45.99039,4.15039,41.84000
2023-10-24 00:02:27,0.02027,46.05289,4.21289,41.84000
2023-10-24 00:02:28,0.00838,45.96500,4.12500,41.84000