skype_image_date,skype_image_cpu_utilization,skype_image_total_power,skype_image_cpu_power,skype_image_gpu_power
2023-10-23 02:32:48,0.01193,41.68406,3.91406,37.77000
2023-10-23 02:32:56,0.04482,46.32031,4.32031,42.00000
2023-10-23 02:32:57,0.05673,46.23312,4.45313,41.78000
2023-10-23 02:32:58,0.06856,46.26531,4.44531,41.82000
2023-10-23 02:32:59,0.03103,46.23063,4.39063,41.84000
2023-10-23 02:33:00,0.06836,46.58875,4.71875,41.87000
2023-10-23 02:33:01,0.14349,47.21062,5.39063,41.82000
2023-10-23 02:33:02,0.02988,46.38469,4.30469,42.08000
2023-10-23 02:33:03,0.07035,46.32469,4.80469,41.52000
2023-10-23 02:33:04,0.02396,45.74437,4.23438,41.51000
2023-10-23 02:33:05,0.08630,46.24844,4.39844,41.85000
2023-10-23 02:33:07,0.04815,46.33812,4.32813,42.01000
2023-10-23 02:33:08,0.07748,45.97688,4.29688,41.68000
2023-10-23 02:33:09,0.04914,46.55875,4.71875,41.84000
2023-10-23 02:33:10,0.03819,46.30750,4.43750,41.87000
2023-10-23 02:33:11,0.08955,46.71312,4.95313,41.76000
2023-10-23 02:33:12,0.13587,47.41406,5.41406,42.00000
2023-10-23 02:33:13,0.04727,46.39969,4.42969,41.97000
2023-10-23 02:33:14,0.07929,47.45094,4.96094,42.49000
2023-10-23 02:33:15,0.05805,46.51563,4.51563,42.00000
2023-10-23 02:33:16,0.03817,46.17875,4.46875,41.71000
2023-10-23 02:33:17,0.04519,46.17156,4.35156,41.82000
2023-10-23 02:33:18,0.00851,46.06656,4.22656,41.84000
2023-10-23 02:33:19,0.03090,46.18375,4.34375,41.84000
2023-10-23 02:33:20,0.01418,46.39656,4.22656,42.17000
2023-10-23 02:33:21,0.03042,46.34594,4.33594,42.01000
2023-10-23 02:33:29,0.03527,40.18438,3.98438,36.20000
2023-10-23 02:33:30,0.03625,39.21000,4.00000,35.21000
2023-10-23 02:33:31,0.02616,39.27063,3.89063,35.38000
2023-10-23 02:33:32,0.04688,39.22594,4.08594,35.14000
2023-10-23 02:33:33,0.07022,32.57750,4.18750,28.39000
2023-10-23 02:33:34,0.04381,31.81094,3.46094,28.35000
2023-10-23 02:33:36,0.12883,32.55031,4.07031,28.48000
2023-10-23 02:33:37,0.05855,19.45188,2.92188,16.53000
2023-10-23 02:33:38,0.03800,32.13062,3.14063,28.99000
2023-10-23 02:33:39,0.07336,31.88531,3.44531,28.44000
2023-10-23 02:33:40,0.04963,31.95062,3.39063,28.56000
2023-10-23 02:33:41,0.07223,31.89375,3.34375,28.55000
2023-10-23 02:33:42,0.01220,31.79875,3.21875,28.58000
2023-10-23 02:33:43,0.02700,31.90906,3.28906,28.62000
2023-10-23 02:33:44,0.03476,31.91156,3.35156,28.56000
2023-10-23 02:33:45,0.16635,33.06250,4.56250,28.50000
2023-10-23 02:33:46,0.03321,31.92844,3.39844,28.53000
2023-10-23 02:33:47,0.10000,32.45844,3.89844,28.56000
2023-10-23 02:33:48,0.03913,31.88031,3.32031,28.56000
2023-10-23 02:33:49,0.01147,31.70344,3.27344,28.43000
2023-10-23 02:33:50,0.01052,31.79094,3.21094,28.58000
2023-10-23 02:33:51,0.01316,31.80656,3.22656,28.58000
2023-10-23 02:33:52,0.01034,31.79094,3.21094,28.58000
2023-10-23 02:33:53,0.00938,31.77531,3.19531,28.58000
2023-10-23 02:33:54,0.00898,31.63875,3.21875,28.42000
2023-10-23 02:33:55,0.02424,31.74031,3.32031,28.42000
2023-10-23 02:34:02,0.13799,47.85812,5.82813,42.03000
2023-10-23 02:34:04,0.05989,46.20719,4.36719,41.84000
2023-10-23 02:34:05,0.04642,46.24969,4.42969,41.82000
2023-10-23 02:34:06,0.02793,46.29937,4.35938,41.94000
2023-10-23 02:34:07,0.02919,46.39063,4.39063,42.00000
2023-10-23 02:34:08,0.13208,47.13906,5.28906,41.85000
2023-10-23 02:34:09,0.12844,48.95562,5.26563,43.69000
2023-10-23 02:34:10,0.06132,46.59000,4.75000,41.84000
2023-10-23 02:34:11,0.02919,47.26000,4.25000,43.01000
2023-10-23 02:34:12,0.09333,46.08406,4.41406,41.67000
2023-10-23 02:34:13,0.03953,45.95469,4.30469,41.65000
2023-10-23 02:34:14,0.06509,46.17156,4.35156,41.82000
2023-10-23 02:34:15,0.01766,46.06656,4.22656,41.84000
2023-10-23 02:34:16,0.10472,47.14656,5.22656,41.92000
2023-10-23 02:34:17,0.04221,46.43750,4.43750,42.00000
2023-10-23 02:34:18,0.16226,47.20406,5.41406,41.79000
2023-10-23 02:34:19,0.03659,46.40031,4.32031,42.08000
2023-10-23 02:34:20,0.07021,47.23750,4.93750,42.30000
2023-10-23 02:34:21,0.04417,46.32438,4.48438,41.84000
2023-10-23 02:34:22,0.00969,46.07438,4.23438,41.84000
2023-10-23 02:34:23,0.01616,39.04250,3.81250,35.23000
2023-10-23 02:34:24,0.01285,38.79438,3.73438,35.06000
2023-10-23 02:34:25,0.05215,32.33406,3.91406,28.42000
2023-10-23 02:34:26,0.01880,31.50219,3.24219,28.26000
2023-10-23 02:34:27,0.01085,31.46313,3.20313,28.26000
2023-10-23 02:34:36,0.04904,39.98312,3.95313,36.03000
2023-10-23 02:34:37,0.07054,39.08344,4.02344,35.06000
2023-10-23 02:34:38,0.03248,38.98750,3.93750,35.05000
2023-10-23 02:34:39,0.02783,39.04937,3.85938,35.19000
2023-10-23 02:34:40,0.08142,32.87531,4.19531,28.68000
2023-10-23 02:34:41,0.07114,33.17000,3.50000,29.67000
2023-10-23 02:34:42,0.14916,23.41844,3.89844,19.52000
2023-10-23 02:34:43,0.18814,48.06688,4.29688,43.77000
2023-10-23 02:34:44,0.16599,47.63219,5.24219,42.39000
2023-10-23 02:34:45,0.07276,46.09406,4.41406,41.68000
2023-10-23 02:34:46,0.01538,46.09344,4.27344,41.82000
2023-10-23 02:34:47,0.09690,46.11219,4.49219,41.62000
2023-10-23 02:34:48,0.03214,46.21125,4.53125,41.68000
2023-10-23 02:34:49,0.01331,46.10125,4.28125,41.82000
2023-10-23 02:34:50,0.01349,46.10563,4.26563,41.84000
2023-10-23 02:34:51,0.12197,46.92156,5.10156,41.82000
2023-10-23 02:34:52,0.02809,46.16375,4.34375,41.82000
2023-10-23 02:34:53,0.06154,46.61750,4.93750,41.68000
2023-10-23 02:34:54,0.02376,46.17594,4.33594,41.84000
2023-10-23 02:34:55,0.01098,45.92656,4.22656,41.70000
2023-10-23 02:34:56,0.01420,46.11344,4.27344,41.84000
2023-10-23 02:34:57,0.00980,46.21219,4.24219,41.97000
2023-10-23 02:34:58,0.00753,45.89875,4.21875,41.68000
2023-10-23 02:34:59,0.03839,46.28406,4.41406,41.87000
2023-10-23 02:35:00,0.05827,46.40125,4.53125,41.87000
2023-10-23 02:35:01,0.03626,46.11813,4.32813,41.79000
2023-10-23 02:35:09,0.12029,48.07406,4.66406,43.41000
2023-10-23 02:35:10,0.15406,47.43187,5.67188,41.76000
2023-10-23 02:35:11,0.06308,46.90094,4.71094,42.19000
2023-10-23 02:35:12,0.03654,46.37500,4.37500,42.00000
2023-10-23 02:35:13,0.05397,46.66938,4.60938,42.06000
2023-10-23 02:35:14,0.05912,46.44531,4.44531,42.00000
2023-10-23 02:35:15,0.01250,46.71219,4.24219,42.47000
2023-10-23 02:35:16,0.01400,46.61906,4.28906,42.33000
2023-10-23 02:35:17,0.14032,50.26625,5.65625,44.61000
2023-10-23 02:35:18,0.17570,49.17844,5.39844,43.78000
2023-10-23 02:35:19,0.16832,48.92812,5.07813,43.85000
2023-10-23 02:35:20,0.18478,48.05781,5.25781,42.80000
2023-10-23 02:35:21,0.14233,49.02719,5.36719,43.66000
2023-10-23 02:35:22,0.12731,50.13969,5.17969,44.96000
2023-10-23 02:35:23,0.13951,49.68187,5.67188,44.01000
2023-10-23 02:35:24,0.15774,49.46781,5.75781,43.71000
2023-10-23 02:35:25,0.15019,48.62969,5.17969,43.45000
2023-10-23 02:35:26,0.13684,48.83219,5.49219,43.34000
2023-10-23 02:35:27,0.13238,49.47750,5.18750,44.29000
2023-10-23 02:35:28,0.14673,41.07969,4.92969,36.15000
2023-10-23 02:35:29,0.14063,40.62656,4.47656,36.15000
2023-10-23 02:35:30,0.11597,40.97219,4.49219,36.48000
2023-10-23 02:35:31,0.14501,33.41438,4.23438,29.18000
2023-10-23 02:35:32,0.12707,33.23250,4.06250,29.17000
2023-10-23 02:35:33,0.14008,33.53563,4.01563,29.52000
2023-10-23 02:35:42,0.10688,47.60688,5.29688,42.31000
2023-10-23 02:35:43,0.03585,46.51156,4.35156,42.16000
2023-10-23 02:35:44,0.04495,46.67562,4.51563,42.16000
2023-10-23 02:35:45,0.03002,46.62312,4.45313,42.17000
2023-10-23 02:35:46,0.01812,46.28906,4.28906,42.00000
2023-10-23 02:35:47,0.10470,47.05469,5.05469,42.00000
2023-10-23 02:35:48,0.12268,48.73875,4.96875,43.77000
2023-10-23 02:35:49,0.16041,50.65594,5.83594,44.82000
2023-10-23 02:35:50,0.15103,48.17281,5.13281,43.04000
2023-10-23 02:35:51,0.17476,48.34813,5.07813,43.27000
2023-10-23 02:35:52,0.13014,47.54562,5.26563,42.28000
2023-10-23 02:35:53,0.07768,46.54281,4.38281,42.16000
2023-10-23 02:35:54,0.01335,46.38219,4.24219,42.14000
2023-10-23 02:35:55,0.04728,46.73781,4.75781,41.98000
2023-10-23 02:35:56,0.01240,46.18438,4.23438,41.95000
2023-10-23 02:35:57,0.15760,47.79906,5.78906,42.01000
2023-10-23 02:35:58,0.02538,46.52625,4.40625,42.12000
2023-10-23 02:35:59,0.05596,47.02625,4.90625,42.12000
2023-10-23 02:36:00,0.02547,46.35938,4.35938,42.00000
2023-10-23 02:36:01,0.01134,46.26000,4.25000,42.01000
2023-10-23 02:36:02,0.02000,46.26563,4.26563,42.00000
2023-10-23 02:36:03,0.00473,46.39781,4.25781,42.14000
2023-10-23 02:36:04,0.01493,46.12781,4.25781,41.87000
2023-10-23 02:36:05,0.03519,46.54625,4.40625,42.14000
2023-10-23 02:36:06,0.05843,46.54562,4.51563,42.03000
2023-10-23 02:36:15,0.13448,48.46875,5.21875,43.25000
2023-10-23 02:36:16,0.14246,48.12312,5.95313,42.17000
2023-10-23 02:36:17,0.03612,46.48812,4.32813,42.16000
2023-10-23 02:36:18,0.04563,46.65219,4.49219,42.16000
2023-10-23 02:36:19,0.04343,40.11125,4.53125,35.58000
2023-10-23 02:36:20,0.04095,39.41125,4.03125,35.38000
2023-10-23 02:36:21,0.02980,39.37812,3.82813,35.55000
2023-10-23 02:36:22,0.02559,32.41781,3.50781,28.91000
2023-10-23 02:36:23,0.19231,34.28844,4.64844,29.64000
2023-10-23 02:36:24,0.15530,33.96656,3.97656,29.99000
2023-10-23 02:36:25,0.15257,34.33906,3.78906,30.55000
2023-10-23 02:36:26,0.18050,34.82875,4.21875,30.61000
2023-10-23 02:36:27,0.17366,33.74250,4.06250,29.68000
2023-10-23 02:36:28,0.21918,34.80187,4.17188,30.63000
2023-10-23 02:36:29,0.16292,35.81719,4.86719,30.95000
2023-10-23 02:36:30,0.14867,34.04125,4.53125,29.51000
2023-10-23 02:36:31,0.13553,33.91969,3.92969,29.99000
2023-10-23 02:36:32,0.14819,33.91438,4.23438,29.68000
2023-10-23 02:36:33,0.17708,33.63094,3.96094,29.67000
2023-10-23 02:36:34,0.16735,33.87281,3.88281,29.99000
2023-10-23 02:36:35,0.17720,33.58219,4.24219,29.34000
2023-10-23 02:36:36,0.14850,33.95344,4.27344,29.68000
2023-10-23 02:36:37,0.16279,34.02906,4.03906,29.99000
2023-10-23 02:36:38,0.10348,33.52125,4.03125,29.49000
2023-10-23 02:36:39,0.14205,34.24937,4.60938,29.64000
2023-10-23 02:36:48,0.12172,48.90781,5.00781,43.90000
2023-10-23 02:36:49,0.15625,51.00969,5.92969,45.08000
2023-10-23 02:36:50,0.05385,46.36937,4.35938,42.01000
2023-10-23 02:36:51,0.04041,46.58969,4.42969,42.16000
2023-10-23 02:36:52,0.05430,46.67781,4.50781,42.17000
2023-10-23 02:36:53,0.06303,46.51563,4.51563,42.00000
2023-10-23 02:36:54,0.03289,46.67688,4.29688,42.38000
2023-10-23 02:36:55,0.18339,51.11813,5.82813,45.29000
2023-10-23 02:36:56,0.14888,49.04469,5.05469,43.99000
2023-10-23 02:36:57,0.14004,50.23938,5.10938,45.13000
2023-10-23 02:36:58,0.16593,49.41219,4.99219,44.42000
2023-10-23 02:36:59,0.18492,50.05812,5.07813,44.98000
2023-10-23 02:37:00,0.15873,49.32594,5.08594,44.24000
2023-10-23 02:37:01,0.13899,49.89500,5.37500,44.52000
2023-10-23 02:37:02,0.11162,47.41781,5.25781,42.16000
2023-10-23 02:37:03,0.11044,47.25406,5.16406,42.09000
2023-10-23 02:37:04,0.05833,46.76313,4.45313,42.31000
2023-10-23 02:37:05,0.08492,47.01937,4.85938,42.16000
2023-10-23 02:37:06,0.05614,46.36281,4.38281,41.98000
2023-10-23 02:37:07,0.01633,46.12000,4.25000,41.87000
2023-10-23 02:37:08,0.02621,46.29125,4.28125,42.01000
2023-10-23 02:37:09,0.01394,46.54875,4.21875,42.33000
2023-10-23 02:37:10,0.01641,46.25219,4.24219,42.01000
2023-10-23 02:37:11,0.04823,39.18094,3.96094,35.22000
2023-10-23 02:37:13,0.05812,39.02312,3.95313,35.07000
2023-10-23 02:37:21,0.13031,40.95500,5.12500,35.83000
2023-10-23 02:37:22,0.04310,39.74844,3.89844,35.85000
2023-10-23 02:37:23,0.04294,38.99750,3.93750,35.06000
2023-10-23 02:37:24,0.04940,39.22656,3.97656,35.25000
2023-10-23 02:37:25,0.04072,32.39250,3.81250,28.58000
2023-10-23 02:37:26,0.07102,32.53938,3.85938,28.68000
2023-10-23 02:37:27,0.08436,32.77563,3.76563,29.01000
2023-10-23 02:37:28,0.13828,34.61125,4.28125,30.33000
2023-10-23 02:37:29,0.15700,34.31937,3.85938,30.46000
2023-10-23 02:37:30,0.16098,33.79313,3.95313,29.84000
2023-10-23 02:37:31,0.15566,34.56031,4.07031,30.49000
2023-10-23 02:37:32,0.14700,33.76188,3.92188,29.84000
2023-10-23 02:37:33,0.15521,34.61250,3.81250,30.80000
2023-10-23 02:37:34,0.15241,33.62719,3.86719,29.76000
2023-10-23 02:37:35,0.13740,34.34937,4.35938,29.99000
2023-10-23 02:37:36,0.17724,33.99250,4.31250,29.68000
2023-10-23 02:37:37,0.12271,33.65813,3.82813,29.83000
2023-10-23 02:37:38,0.13910,33.89875,4.21875,29.68000
2023-10-23 02:37:40,0.11775,33.62906,3.78906,29.84000
2023-10-23 02:37:41,0.16972,33.66031,3.82031,29.84000
2023-10-23 02:37:42,0.13477,33.36656,3.72656,29.64000
2023-10-23 02:37:43,0.12406,33.67594,3.83594,29.84000
2023-10-23 02:37:44,0.11287,33.51594,3.83594,29.68000
2023-10-23 02:37:45,0.13168,33.21375,3.84375,29.37000
2023-10-23 02:37:46,0.13993,34.38000,4.25000,30.13000
2023-10-23 02:37:54,0.03314,47.04469,4.30469,42.74000
2023-10-23 02:37:55,0.04661,46.27750,4.43750,41.84000
2023-10-23 02:37:56,0.02925,46.41625,4.40625,42.01000
2023-10-23 02:37:57,0.02247,46.33000,4.25000,42.08000
2023-10-23 02:37:58,0.10020,47.47469,5.30469,42.17000
2023-10-23 02:37:59,0.05669,48.53469,4.55469,43.98000
2023-10-23 02:38:00,0.12934,48.53844,5.14844,43.39000
2023-10-23 02:38:01,0.15098,50.25188,5.42188,44.83000
2023-10-23 02:38:02,0.13019,49.53250,5.06250,44.47000
2023-10-23 02:38:04,0.14063,48.42781,5.00781,43.42000
2023-10-23 02:38:05,0.14722,47.29125,5.28125,42.01000
2023-10-23 02:38:06,0.04887,46.32031,4.32031,42.00000
2023-10-23 02:38:07,0.00911,46.28000,4.25000,42.03000
2023-10-23 02:38:08,0.05569,46.49469,4.55469,41.94000
2023-10-23 02:38:09,0.04608,46.58875,4.46875,42.12000
2023-10-23 02:38:10,0.09925,47.29281,5.13281,42.16000
2023-10-23 02:38:11,0.03992,48.52063,4.39063,44.13000
2023-10-23 02:38:12,0.05545,46.83031,4.82031,42.01000
2023-10-23 02:38:13,0.02470,46.45687,4.29688,42.16000
2023-10-23 02:38:14,0.01786,46.72781,4.25781,42.47000
2023-10-23 02:38:15,0.01383,38.88813,3.82813,35.06000
2023-10-23 02:38:16,0.01054,38.93094,3.71094,35.22000
2023-10-23 02:38:17,0.01415,32.02937,3.60938,28.42000
2023-10-23 02:38:18,0.13554,32.93468,4.55469,28.38000
2023-10-23 02:38:19,0.03750,31.89875,3.46875,28.43000