zoom_image_date,zoom_image_cpu_ utilization,zoom_image_total_power,zoom_image_cpu_power,zoom_image_gpu_power
2023-10-23 03:19:01,0.08081,45.77656,4.22656,41.55000
2023-10-23 03:19:02,0.11448,39.78938,4.10938,35.68000
2023-10-23 03:19:03,0.07886,39.61250,3.81250,35.80000
2023-10-23 03:19:04,0.02500,38.85688,3.79688,35.06000
2023-10-23 03:19:05,0.01342,38.67594,3.58594,35.09000
2023-10-23 03:19:06,0.02181,38.66938,3.60938,35.06000
2023-10-23 03:19:07,0.04461,31.46938,3.35938,28.11000
2023-10-23 03:19:08,0.05818,31.66875,3.71875,27.95000
2023-10-23 03:19:09,0.01365,19.61531,2.94531,16.67000
2023-10-23 03:19:10,0.03545,17.95094,2.21094,15.74000
2023-10-23 03:19:11,0.00932,17.94687,2.04688,15.90000
2023-10-23 03:19:12,0.01563,14.70813,2.07813,12.63000
2023-10-23 03:19:13,0.01049,15.82594,2.08594,13.74000
2023-10-23 03:19:14,0.01455,15.02031,2.07031,12.95000
2023-10-23 03:19:15,0.00585,15.74781,2.00781,13.74000
2023-10-23 03:19:16,0.10174,15.77469,3.30469,12.47000
2023-10-23 03:19:17,0.01173,14.82906,2.03906,12.79000
2023-10-23 03:19:18,0.03723,16.84188,2.17188,14.67000
2023-10-23 03:19:19,0.09397,43.75594,4.58594,39.17000
2023-10-23 03:19:21,0.08691,43.13281,4.13281,39.00000
2023-10-23 03:19:22,0.07348,42.61813,4.07813,38.54000
2023-10-23 03:19:23,0.05739,41.58437,3.98438,37.60000
2023-10-23 03:19:24,0.01655,41.62500,3.87500,37.75000
2023-10-23 03:19:25,0.01064,41.55031,3.82031,37.73000
2023-10-23 03:19:26,0.00758,41.54250,3.81250,37.73000
2023-10-23 03:19:34,0.08241,46.50625,4.65625,41.85000
2023-10-23 03:19:35,0.10884,46.08031,4.57031,41.51000
2023-10-23 03:19:36,0.09363,46.18000,4.50000,41.68000
2023-10-23 03:19:37,0.09520,46.48281,4.63281,41.85000
2023-10-23 03:19:38,0.01374,45.76656,4.22656,41.54000
2023-10-23 03:19:39,0.00923,45.88750,4.18750,41.70000
2023-10-23 03:19:40,0.04743,46.04000,4.50000,41.54000
2023-10-23 03:19:41,0.10487,46.65750,5.43750,41.22000
2023-10-23 03:19:42,0.02106,45.95000,4.25000,41.70000
2023-10-23 03:19:43,0.01997,45.56313,4.20313,41.36000
2023-10-23 03:19:44,0.00821,45.57875,4.21875,41.36000
2023-10-23 03:19:45,0.01937,45.76219,4.24219,41.52000
2023-10-23 03:19:46,0.00456,45.71969,4.17969,41.54000
2023-10-23 03:19:47,0.01128,45.70406,4.16406,41.54000
2023-10-23 03:19:49,0.01625,45.59094,4.21094,41.38000
2023-10-23 03:19:50,0.07881,46.61000,5.25000,41.36000
2023-10-23 03:19:51,0.00916,45.56875,4.21875,41.35000
2023-10-23 03:19:52,0.06685,46.57312,4.95313,41.62000
2023-10-23 03:19:53,0.07398,48.90969,4.67969,44.23000
2023-10-23 03:19:54,0.07364,47.16563,4.51563,42.65000
2023-10-23 03:19:55,0.07167,45.86000,4.50000,41.36000
2023-10-23 03:19:56,0.01364,45.57875,4.21875,41.36000
2023-10-23 03:19:57,0.01877,45.43875,4.21875,41.22000
2023-10-23 03:19:58,0.00545,45.40531,4.19531,41.21000
2023-10-23 03:19:59,0.00505,46.16406,4.16406,42.00000
2023-10-23 03:20:07,0.09899,40.10594,4.58594,35.52000
2023-10-23 03:20:08,0.03558,39.52469,3.80469,35.72000
2023-10-23 03:20:09,0.03741,39.47750,3.93750,35.54000
2023-10-23 03:20:10,0.01642,38.57188,3.67188,34.90000
2023-10-23 03:20:11,0.01616,38.69281,3.63281,35.06000
2023-10-23 03:20:12,0.03102,38.80875,3.71875,35.09000
2023-10-23 03:20:13,0.01780,31.28188,3.17188,28.11000
2023-10-23 03:20:14,0.10858,32.34531,4.44531,27.90000
2023-10-23 03:20:15,0.04307,22.37156,3.35156,19.02000
2023-10-23 03:20:16,0.02748,18.78781,2.25781,16.53000
2023-10-23 03:20:17,0.01408,18.71969,2.17969,16.54000
2023-10-23 03:20:18,0.00880,16.50063,2.14063,14.36000
2023-10-23 03:20:19,0.01449,15.75187,2.17188,13.58000
2023-10-23 03:20:21,0.01594,15.09625,2.15625,12.94000
2023-10-23 03:20:22,0.00968,14.86812,2.07813,12.79000
2023-10-23 03:20:23,0.07886,16.39906,3.28906,13.11000
2023-10-23 03:20:24,0.01007,14.84469,2.05469,12.79000
2023-10-23 03:20:25,0.08276,41.31500,3.62500,37.69000
2023-10-23 03:20:26,0.08305,43.40219,4.24219,39.16000
2023-10-23 03:20:27,0.07996,43.15625,4.15625,39.00000
2023-10-23 03:20:28,0.08185,41.91063,4.14063,37.77000
2023-10-23 03:20:29,0.00842,41.40250,3.81250,37.59000
2023-10-23 03:20:30,0.01284,41.57813,3.82813,37.75000
2023-10-23 03:20:31,0.00926,41.71687,3.79688,37.92000
2023-10-23 03:20:32,0.00839,41.39031,3.82031,37.57000
2023-10-23 03:20:40,0.07970,46.09406,4.41406,41.68000
2023-10-23 03:20:41,0.11851,46.30563,4.76563,41.54000
2023-10-23 03:20:42,0.08784,45.98250,4.31250,41.67000
2023-10-23 03:20:43,0.07095,45.89500,4.37500,41.52000
2023-10-23 03:20:44,0.01930,45.92219,4.24219,41.68000
2023-10-23 03:20:45,0.02710,45.99125,4.28125,41.71000
2023-10-23 03:20:47,0.03691,46.03156,4.35156,41.68000
2023-10-23 03:20:48,0.10201,46.96188,5.67188,41.29000
2023-10-23 03:20:49,0.05956,48.32219,4.99219,43.33000
2023-10-23 03:20:50,0.02341,45.76219,4.24219,41.52000
2023-10-23 03:20:51,0.00929,45.54750,4.18750,41.36000
2023-10-23 03:20:52,0.01128,45.72313,4.20313,41.52000
2023-10-23 03:20:53,0.00755,45.73875,4.21875,41.52000
2023-10-23 03:20:54,0.00923,45.75438,4.23438,41.52000
2023-10-23 03:20:55,0.01174,45.81688,4.29688,41.52000
2023-10-23 03:20:56,0.07250,46.81688,5.29688,41.52000
2023-10-23 03:20:57,0.01263,45.70750,4.18750,41.52000
2023-10-23 03:20:58,0.07732,47.65469,5.05469,42.60000
2023-10-23 03:20:59,0.06888,48.29937,4.60938,43.69000
2023-10-23 03:21:00,0.07299,48.32250,4.56250,43.76000
2023-10-23 03:21:01,0.07886,47.99469,4.55469,43.44000
2023-10-23 03:21:02,0.02119,45.77000,4.25000,41.52000
2023-10-23 03:21:03,0.01152,45.70750,4.18750,41.52000
2023-10-23 03:21:04,0.00671,45.72313,4.20313,41.52000
2023-10-23 03:21:05,0.02090,45.57875,4.21875,41.36000
2023-10-23 03:21:13,0.01846,45.85969,4.17969,41.68000
2023-10-23 03:21:14,0.06566,40.70687,4.54688,36.16000
2023-10-23 03:21:15,0.08333,39.71000,4.00000,35.71000
2023-10-23 03:21:16,0.07288,39.75625,3.90625,35.85000
2023-10-23 03:21:18,0.08898,38.86687,3.79688,35.07000
2023-10-23 03:21:19,0.06081,38.84344,3.77344,35.07000
2023-10-23 03:21:20,0.05034,32.15437,3.73438,28.42000
2023-10-23 03:21:21,0.11204,32.74562,4.51563,28.23000
2023-10-23 03:21:22,0.08528,32.88875,4.46875,28.42000
2023-10-23 03:21:23,0.02344,20.35094,2.71094,17.64000
2023-10-23 03:21:24,0.00836,18.86969,2.17969,16.69000
2023-10-23 03:21:25,0.00839,19.50969,2.17969,17.33000
2023-10-23 03:21:26,0.00337,15.18031,2.07031,13.11000
2023-10-23 03:21:27,0.00421,15.16469,2.05469,13.11000
2023-10-23 03:21:28,0.01178,15.42625,2.15625,13.27000
2023-10-23 03:21:29,0.07699,16.33438,3.23438,13.10000
2023-10-23 03:21:30,0.01003,14.71594,2.08594,12.63000
2023-10-23 03:21:31,0.07526,41.26594,3.58594,37.68000
2023-10-23 03:21:32,0.07835,43.12563,4.26563,38.86000
2023-10-23 03:21:33,0.07239,43.31625,4.15625,39.16000
2023-10-23 03:21:34,0.07071,42.06406,4.16406,37.90000
2023-10-23 03:21:35,0.01342,41.77937,3.85938,37.92000
2023-10-23 03:21:36,0.00845,41.61937,3.85938,37.76000
2023-10-23 03:21:37,0.01583,41.75594,3.83594,37.92000
2023-10-23 03:21:38,0.01091,41.79844,3.89844,37.90000
2023-10-23 03:21:46,0.07912,46.44750,4.43750,42.01000
2023-10-23 03:21:47,0.06544,46.11375,4.59375,41.52000
2023-10-23 03:21:49,0.00923,45.92219,4.24219,41.68000
2023-10-23 03:21:50,0.03428,46.04344,4.52344,41.52000
2023-10-23 03:21:51,0.00755,46.24562,4.26563,41.98000
2023-10-23 03:21:52,0.01762,46.17469,4.30469,41.87000
2023-10-23 03:21:53,0.02349,46.16375,4.34375,41.82000
2023-10-23 03:21:54,0.09932,47.16687,5.54688,41.62000
2023-10-23 03:21:55,0.09044,46.73938,5.60938,41.13000
2023-10-23 03:21:56,0.05051,46.08656,4.72656,41.36000
2023-10-23 03:21:57,0.00503,45.76656,4.22656,41.54000
2023-10-23 03:21:58,0.00755,45.75094,4.21094,41.54000
2023-10-23 03:21:59,0.00755,45.90000,4.25000,41.65000
2023-10-23 03:22:00,0.03316,45.74375,4.34375,41.40000
2023-10-23 03:22:01,0.01263,45.74656,4.22656,41.52000
2023-10-23 03:22:02,0.07253,46.88719,5.36719,41.52000
2023-10-23 03:22:03,0.01250,45.77000,4.25000,41.52000
2023-10-23 03:22:04,0.06983,48.20063,5.14063,43.06000
2023-10-23 03:22:05,0.07509,48.82063,4.64063,44.18000
2023-10-23 03:22:06,0.07802,47.97594,4.58594,43.39000
2023-10-23 03:22:07,0.07323,46.13594,4.58594,41.55000
2023-10-23 03:22:08,0.01258,45.71531,4.19531,41.52000
2023-10-23 03:22:09,0.01003,45.72313,4.20313,41.52000
2023-10-23 03:22:10,0.00593,45.71312,4.20313,41.51000
2023-10-23 03:22:11,0.01302,45.80125,4.28125,41.52000
2023-10-23 03:22:20,0.08594,46.66219,4.49219,42.17000
2023-10-23 03:22:21,0.09277,46.40844,4.39844,42.01000
2023-10-23 03:22:22,0.13429,46.97719,4.86719,42.11000
2023-10-23 03:22:23,0.09514,39.82625,4.15625,35.67000
2023-10-23 03:22:24,0.08364,39.78406,3.91406,35.87000
2023-10-23 03:22:25,0.07753,39.72063,3.89063,35.83000
2023-10-23 03:22:26,0.08644,39.27531,3.94531,35.33000
2023-10-23 03:22:27,0.12752,40.22156,5.10156,35.12000
2023-10-23 03:22:28,0.09699,33.14406,4.91406,28.23000
2023-10-23 03:22:29,0.05152,31.90500,3.62500,28.28000
2023-10-23 03:22:30,0.01338,31.35813,3.07813,28.28000
2023-10-23 03:22:31,0.00589,19.89406,2.41406,17.48000
2023-10-23 03:22:32,0.00923,19.68531,2.19531,17.49000
2023-10-23 03:22:33,0.00589,14.97750,2.18750,12.79000
2023-10-23 03:22:34,0.01083,15.61906,2.03906,13.58000
2023-10-23 03:22:35,0.08278,16.26812,3.32813,12.94000
2023-10-23 03:22:36,0.01846,15.40281,2.13281,13.27000
2023-10-23 03:22:37,0.07639,41.99750,3.68750,38.31000
2023-10-23 03:22:38,0.07881,43.95156,4.35156,39.60000
2023-10-23 03:22:39,0.07095,42.98188,4.17188,38.81000
2023-10-23 03:22:40,0.07881,41.95750,4.18750,37.77000
2023-10-23 03:22:41,0.01254,41.89594,3.83594,38.06000
2023-10-23 03:22:42,0.01087,41.90156,3.85156,38.05000
2023-10-23 03:22:43,0.00755,41.73594,3.83594,37.90000
2023-10-23 03:22:44,0.01007,41.70906,3.78906,37.92000
2023-10-23 03:22:53,0.07990,46.08281,4.38281,41.70000
2023-10-23 03:22:54,0.11815,46.52969,4.67969,41.85000
2023-10-23 03:22:55,0.08849,46.11500,4.37500,41.74000
2023-10-23 03:22:56,0.04561,46.02781,4.50781,41.52000
2023-10-23 03:22:57,0.01347,46.13562,4.26563,41.87000
2023-10-23 03:22:58,0.02862,45.96906,4.28906,41.68000
2023-10-23 03:22:59,0.01852,46.03719,4.36719,41.67000
2023-10-23 03:23:00,0.09899,47.13969,5.67969,41.46000
2023-10-23 03:23:01,0.09083,47.05719,5.61719,41.44000
2023-10-23 03:23:02,0.07358,47.37875,5.21875,42.16000
2023-10-23 03:23:03,0.01091,45.76656,4.22656,41.54000
2023-10-23 03:23:04,0.00755,45.90656,4.22656,41.68000
2023-10-23 03:23:05,0.01351,45.80125,4.28125,41.52000
2023-10-23 03:23:06,0.00836,45.57875,4.21875,41.36000
2023-10-23 03:23:07,0.01429,45.60781,4.25781,41.35000
2023-10-23 03:23:08,0.07250,46.79906,5.28906,41.51000
2023-10-23 03:23:09,0.00771,45.76094,4.21094,41.55000
2023-10-23 03:23:10,0.02538,47.12844,4.39844,42.73000
2023-10-23 03:23:11,0.09480,49.14094,5.21094,43.93000
2023-10-23 03:23:12,0.08242,49.44844,4.64844,44.80000
2023-10-23 03:23:13,0.07780,48.52937,4.60938,43.92000
2023-10-23 03:23:14,0.03463,45.86937,4.35938,41.51000
2023-10-23 03:23:15,0.01505,45.80125,4.28125,41.52000
2023-10-23 03:23:16,0.01510,45.80906,4.28906,41.52000
2023-10-23 03:23:17,0.01087,45.75094,4.21094,41.54000
2023-10-23 03:23:26,0.05394,39.98938,4.10938,35.88000
2023-10-23 03:23:27,0.10763,39.97937,4.10938,35.87000
2023-10-23 03:23:28,0.09732,39.45594,3.83594,35.62000
2023-10-23 03:23:29,0.01505,38.80437,3.73438,35.07000
2023-10-23 03:23:30,0.01094,39.03625,3.65625,35.38000
2023-10-23 03:23:31,0.03000,31.79344,3.52344,28.27000
2023-10-23 03:23:32,0.03188,32.04813,3.32813,28.72000
2023-10-23 03:23:33,0.09417,32.50531,4.44531,28.06000
2023-10-23 03:23:34,0.08528,21.27250,3.81250,17.46000
2023-10-23 03:23:35,0.10786,21.64187,3.67188,17.97000
2023-10-23 03:23:36,0.02104,15.14531,2.19531,12.95000
2023-10-23 03:23:37,0.00926,15.79469,2.05469,13.74000
2023-10-23 03:23:38,0.01436,15.43406,2.16406,13.27000
2023-10-23 03:23:39,0.00733,15.54719,2.11719,13.43000
2023-10-23 03:23:40,0.01465,15.38719,2.11719,13.27000
2023-10-23 03:23:41,0.08456,16.53344,3.27344,13.26000
2023-10-23 03:23:42,0.01254,15.35594,2.08594,13.27000
2023-10-23 03:23:43,0.08248,43.28812,3.82813,39.46000
2023-10-23 03:23:44,0.07534,43.68969,4.17969,39.51000
2023-10-23 03:23:45,0.07119,43.76062,4.14063,39.62000
2023-10-23 03:23:46,0.06229,41.85375,4.09375,37.76000
2023-10-23 03:23:47,0.01342,41.54125,3.78125,37.76000
2023-10-23 03:23:48,0.00955,41.71250,3.81250,37.90000
2023-10-23 03:23:49,0.00730,41.71031,3.82031,37.89000
2023-10-23 03:23:50,0.01099,41.62500,3.87500,37.75000
2023-10-23 03:23:59,0.06292,46.47500,4.62500,41.85000
2023-10-23 03:24:00,0.04640,46.75375,4.59375,42.16000
2023-10-23 03:24:01,0.09263,46.23125,4.53125,41.70000
2023-10-23 03:24:02,0.08220,46.33562,4.51563,41.82000
2023-10-23 03:24:03,0.08741,46.45531,4.44531,42.01000
2023-10-23 03:24:04,0.08156,46.09406,4.41406,41.68000
2023-10-23 03:24:05,0.04270,45.98719,4.36719,41.62000
2023-10-23 03:24:06,0.11566,47.26406,5.66406,41.60000
2023-10-23 03:24:07,0.08673,47.05719,5.61719,41.44000
2023-10-23 03:24:08,0.09099,47.46500,5.62500,41.84000
2023-10-23 03:24:09,0.02018,45.77781,4.25781,41.52000
2023-10-23 03:24:10,0.01136,45.78219,4.24219,41.54000
2023-10-23 03:24:11,0.01224,45.80125,4.28125,41.52000
2023-10-23 03:24:12,0.01557,45.64687,4.29688,41.35000
2023-10-23 03:24:13,0.01644,45.84031,4.32031,41.52000
2023-10-23 03:24:14,0.07500,46.86937,5.35938,41.51000
2023-10-23 03:24:15,0.00781,45.94563,4.26563,41.68000
2023-10-23 03:24:16,0.06498,48.17594,4.83594,43.34000
2023-10-23 03:24:17,0.07363,47.81719,4.86719,42.95000
2023-10-23 03:24:18,0.08190,47.53250,4.56250,42.97000
2023-10-23 03:24:19,0.08424,46.47156,4.60156,41.87000
2023-10-23 03:24:20,0.01099,45.74656,4.22656,41.52000
2023-10-23 03:24:21,0.00730,45.59438,4.23438,41.36000
